A1_1	A1_1_1.fq.gz
A1_1	A1_1_2.fq.gz
A1_2	A1_2_1.fq.gz
A1_2	A1_2_2.fq.gz
A1_3	A1_3_1.fq.gz
A1_3	A1_3_2.fq.gz
B2_1	B2_1_1.fq.gz
B2_1	B2_1_2.fq.gz
B2_2	B2_2_1.fq.gz
B2_2	B2_2_2.fq.gz
B2_3	B2_3_1.fq.gz
B2_3	B2_3_2.fq.gz
C3_1	C3_1_1.fq.gz
C3_1	C3_1_2.fq.gz
C3_2	C3_2_1.fq.gz
C3_2	C3_2_2.fq.gz
C3_3	C3_3_1.fq.gz
C3_3	C3_3_2.fq.gz
D4_1	D4_1_1.fq.gz
D4_1	D4_1_2.fq.gz
D4_2	D4_2_1.fq.gz
D4_2	D4_2_2.fq.gz
D4_3	D4_3_1.fq.gz
D4_3	D4_3_2.fq.gz
E5_1	E5_1_1.fq.gz
E5_1	E5_1_2.fq.gz
E5_2	E5_2_1.fq.gz
E5_2	E5_2_2.fq.gz
E5_3	E5_3_1.fq.gz
E5_3	E5_3_2.fq.gz
F6_1	F6_1_1.fq.gz
F6_1	F6_1_2.fq.gz
F6_2	F6_2_1.fq.gz
F6_2	F6_2_2.fq.gz
F6_3	F6_3_1.fq.gz
F6_3	F6_3_2.fq.gz
G7_1	G7_1_1.fq.gz
G7_1	G7_1_2.fq.gz
G7_2	G7_2_1.fq.gz
G7_2	G7_2_2.fq.gz
G7_3	G7_3_1.fq.gz
G7_3	G7_3_2.fq.gz
H8_1	H8_1_1.fq.gz
H8_1	H8_1_2.fq.gz
H8_2	H8_2_1.fq.gz
H8_2	H8_2_2.fq.gz
H8_3	H8_3_1.fq.gz
H8_3	H8_3_2.fq.gz
