sample_accession	run_accession	setup
MF_40metformin	HGNTMDSX5_19422430_S60_L002	paired
MF_40metformin	HGNTMDSX5_19422430_S60_L003	paired
MF_41metformin	HGNTMDSX5_19422432_S42_L002	paired
MF_41metformin	HGNTMDSX5_19422432_S42_L003	paired
MF_42metformin	HGNTMDSX5_19422434_S59_L002	paired
MF_42metformin	HGNTMDSX5_19422434_S59_L003	paired
MF_43metformin	HGNTMDSX5_19422436_S63_L002	paired
MF_43metformin	HGNTMDSX5_19422436_S63_L003	paired
MF_44metformin	HGNTMDSX5_19422438_S46_L002	paired
MF_44metformin	HGNTMDSX5_19422438_S46_L003	paired
MF_45metformin	HGNTMDSX5_19422440_S29_L002	paired
MF_45metformin	HGNTMDSX5_19422440_S29_L003	paired
MF_46metformin	HGNTMDSX5_19422442_S67_L002	paired
MF_46metformin	HGNTMDSX5_19422442_S67_L003	paired
MF_47metformin	HGNTMDSX5_19422444_S40_L002	paired
MF_47metformin	HGNTMDSX5_19422444_S40_L003	paired
AMDCD_ENDO_2	HLLMCDSXY_19079759_S129_L004	paired
AMDCD_ENDO_3	HLLMCDSXY_19079761_S134_L004	paired
TJP1_DMSO_1	HLLMCDSXY_19079763_S125_L004	paired
TJP1_DMSO_2	HLLMCDSXY_19079765_S140_L004	paired
TJP1_DMSO_3	HLLMCDSXY_19079767_S138_L004	paired
TJP1_AGN_1	HLLMCDSXY_19079769_S128_L004	paired
TJP1_AGN_2	HLLMCDSXY_19079771_S126_L004	paired
TJP1_AGN_3	HLLMCDSXY_19079773_S133_L004	paired
TJP1_ENDO_1	HLLMCDSXY_19079775_S139_L004	paired
TJP1_ENDO_2	HLLMCDSXY_19079777_S121_L004	paired
TJP1_ENDO_3	HLLMCDSXY_19079779_S137_L004	paired
D3C_DMSO_1	HLLMCDSXY_19079781_S122_L004	paired
D3C_DMSO_2	HLLMCDSXY_19079783_S119_L004	paired
D3C_DMSO_3	HLLMCDSXY_19079785_S127_L004	paired
D3C_AGN_1	HLLMCDSXY_19079787_S120_L004	paired
D3C_AGN_2	HLLMCDSXY_19079789_S144_L004	paired
D3C_AGN_3	HLLMCDSXY_19079791_S135_L004	paired
AMDCD_DMSO_1	HLLMCDSXY_19079793_S130_L004	paired
AMDCD_DMSO_2	HLLMCDSXY_19079795_S136_L004	paired
AMDCD_DMSO_3	HLLMCDSXY_19079797_S123_L004	paired
AMDCD_AGN_1	HLLMCDSXY_19079799_S141_L004	paired
AMDCD_AGN_2	HLLMCDSXY_19079801_S132_L004	paired
AMDCD_AGN_3	HLLMCDSXY_19079803_S124_L004	paired
AMDCD_ENDO_1	HLLMCDSXY_19079805_S131_L004	paired
D3C_ENDO_1	HLLMCDSXY_19079807_S142_L004	paired
D3C_ENDO_2	HLLMCDSXY_19079809_S145_L004	paired
D3C_ENDO_3	HLLMCDSXY_19079811_S143_L004	paired
MF_RNA1metforminRedo	HM3C5DRX2_19524964_S57_L002	paired
MF_RNA4metforminRedo	HM3C5DRX2_19524968_S52_L002	paired
MF_RNA3metforminRedo	HM3C5DRX2_19524972_S56_L002	paired
MF_RNA2metforminRedo	HM3C5DRX2_19524974_S58_L002	paired
KB5	HM7FMBBXX_16424738_S58_L007	paired
AG2	HM7FMBBXX_16424739_S59_L007	paired
AG4	HM7FMBBXX_16424740_S60_L007	paired
KB3	HM7FMBBXX_16424741_S61_L007	paired
KB9	HM7FMBBXX_16424742_S62_L007	paired
KB12	HM7FMBBXX_16424743_S63_L007	paired
KB4	HM7FMBBXX_16424744_S64_L007	paired
AG1	HM7FMBBXX_16424745_S65_L007	paired
AG5	HM7FMBBXX_16424746_S66_L007	paired
KB1	HM7FMBBXX_16424747_S67_L007	paired
KB7	HM7FMBBXX_16424748_S68_L007	paired
KB11	HM7FMBBXX_16424749_S69_L007	paired
KB6	HM7FMBBXX_16424750_S70_L007	paired
KB8	HM7FMBBXX_16424751_S71_L007	paired
AG3	HM7FMBBXX_16424752_S72_L007	paired
KB10	HM7FMBBXX_16424753_S73_L007	paired
KB2	HM7FMBBXX_16424754_S74_L007	paired
X10_RS	HM7FMBBXX_16496341_S37_L005	paired
X21_RS	HM7FMBBXX_16496342_S38_L005	paired
X20_RS	HM7FMBBXX_16496343_S39_L005	paired
X6_RS	HM7FMBBXX_16496344_S40_L005	paired
X17_RS	HM7FMBBXX_16496345_S41_L005	paired
X16_RS	HM7FMBBXX_16496346_S42_L005	paired
X18_RS	HM7FMBBXX_16496347_S43_L005	paired
X11_RS	HM7FMBBXX_16496348_S44_L005	paired
X14_RS	HM7FMBBXX_16496349_S45_L005	paired
X7_RS	HM7FMBBXX_16496350_S46_L005	paired
X12_RS	HM7FMBBXX_16496351_S47_L005	paired
X2_RS	HM7FMBBXX_16496352_S48_L005	paired
X13_RS	HM7FMBBXX_16496353_S49_L005	paired
X19_RS	HM7FMBBXX_16496354_S50_L005	paired
X9_RS	HM7FMBBXX_16496355_S51_L005	paired
X15_RS	HM7FMBBXX_16496356_S52_L005	paired
X4_RS	HM7FMBBXX_16496357_S53_L005	paired
X8_RS	HM7FMBBXX_16496358_S54_L005	paired
X3_RS	HM7FMBBXX_16496359_S55_L005	paired
X1_RS	HM7FMBBXX_16496360_S56_L005	paired
X5_RS	HM7FMBBXX_16496361_S57_L005	paired
KB5	HM7HWBBXX_16424738_S49_L006	paired
KB5	HM7HWBBXX_16424738_S49_L007	paired
AG2	HM7HWBBXX_16424739_S50_L006	paired
AG2	HM7HWBBXX_16424739_S50_L007	paired
AG4	HM7HWBBXX_16424740_S51_L006	paired
AG4	HM7HWBBXX_16424740_S51_L007	paired
KB3	HM7HWBBXX_16424741_S52_L006	paired
KB3	HM7HWBBXX_16424741_S52_L007	paired
KB9	HM7HWBBXX_16424742_S53_L006	paired
KB9	HM7HWBBXX_16424742_S53_L007	paired
KB12	HM7HWBBXX_16424743_S54_L006	paired
KB12	HM7HWBBXX_16424743_S54_L007	paired
KB4	HM7HWBBXX_16424744_S55_L006	paired
KB4	HM7HWBBXX_16424744_S55_L007	paired
AG1	HM7HWBBXX_16424745_S56_L006	paired
AG1	HM7HWBBXX_16424745_S56_L007	paired
AG5	HM7HWBBXX_16424746_S57_L006	paired
AG5	HM7HWBBXX_16424746_S57_L007	paired
KB1	HM7HWBBXX_16424747_S58_L006	paired
KB1	HM7HWBBXX_16424747_S58_L007	paired
KB7	HM7HWBBXX_16424748_S59_L006	paired
KB7	HM7HWBBXX_16424748_S59_L007	paired
KB11	HM7HWBBXX_16424749_S60_L006	paired
KB11	HM7HWBBXX_16424749_S60_L007	paired
KB6	HM7HWBBXX_16424750_S61_L006	paired
KB6	HM7HWBBXX_16424750_S61_L007	paired
KB8	HM7HWBBXX_16424751_S62_L006	paired
KB8	HM7HWBBXX_16424751_S62_L007	paired
AG3	HM7HWBBXX_16424752_S63_L006	paired
AG3	HM7HWBBXX_16424752_S63_L007	paired
KB10	HM7HWBBXX_16424753_S64_L006	paired
KB10	HM7HWBBXX_16424753_S64_L007	paired
KB2	HM7HWBBXX_16424754_S65_L006	paired
KB2	HM7HWBBXX_16424754_S65_L007	paired
KB5	HM7MVBBXX_16424738_S60_L008	paired
AG2	HM7MVBBXX_16424739_S61_L008	paired
AG4	HM7MVBBXX_16424740_S62_L008	paired
KB9	HM7MVBBXX_16424742_S64_L008	paired
KB12	HM7MVBBXX_16424743_S65_L008	paired
KB4	HM7MVBBXX_16424744_S66_L008	paired
AG1	HM7MVBBXX_16424745_S67_L008	paired
AG5	HM7MVBBXX_16424746_S68_L008	paired
KB1	HM7MVBBXX_16424747_S69_L008	paired
KB7	HM7MVBBXX_16424748_S70_L008	paired
KB11	HM7MVBBXX_16424749_S71_L008	paired
KB6	HM7MVBBXX_16424750_S72_L008	paired
KB8	HM7MVBBXX_16424751_S73_L008	paired
AG3	HM7MVBBXX_16424752_S74_L008	paired
KB10	HM7MVBBXX_16424753_S75_L008	paired
KB2	HM7MVBBXX_16424754_S76_L008	paired
KB3	HM7MVBBXX_16424741_S63_L008	paired
X10_RS	HMLLWBBXX_16496341_S50_L006	paired
X10_RS	HMLLWBBXX_16496341_S50_L007	paired
X10_RS	HMLLWBBXX_16496341_S50_L008	paired
X21_RS	HMLLWBBXX_16496342_S51_L006	paired
X21_RS	HMLLWBBXX_16496342_S51_L007	paired
X21_RS	HMLLWBBXX_16496342_S51_L008	paired
X20_RS	HMLLWBBXX_16496343_S52_L006	paired
X20_RS	HMLLWBBXX_16496343_S52_L007	paired
X20_RS	HMLLWBBXX_16496343_S52_L008	paired
X6_RS	HMLLWBBXX_16496344_S53_L006	paired
X6_RS	HMLLWBBXX_16496344_S53_L007	paired
X6_RS	HMLLWBBXX_16496344_S53_L008	paired
X17_RS	HMLLWBBXX_16496345_S54_L006	paired
X17_RS	HMLLWBBXX_16496345_S54_L007	paired
X17_RS	HMLLWBBXX_16496345_S54_L008	paired
X16_RS	HMLLWBBXX_16496346_S55_L006	paired
X16_RS	HMLLWBBXX_16496346_S55_L007	paired
X16_RS	HMLLWBBXX_16496346_S55_L008	paired
X18_RS	HMLLWBBXX_16496347_S56_L006	paired
X18_RS	HMLLWBBXX_16496347_S56_L007	paired
X18_RS	HMLLWBBXX_16496347_S56_L008	paired
X11_RS	HMLLWBBXX_16496348_S57_L006	paired
X11_RS	HMLLWBBXX_16496348_S57_L007	paired
X11_RS	HMLLWBBXX_16496348_S57_L008	paired
X14_RS	HMLLWBBXX_16496349_S58_L006	paired
X14_RS	HMLLWBBXX_16496349_S58_L007	paired
X14_RS	HMLLWBBXX_16496349_S58_L008	paired
X7_RS	HMLLWBBXX_16496350_S59_L006	paired
X7_RS	HMLLWBBXX_16496350_S59_L007	paired
X7_RS	HMLLWBBXX_16496350_S59_L008	paired
X12_RS	HMLLWBBXX_16496351_S60_L006	paired
X12_RS	HMLLWBBXX_16496351_S60_L007	paired
X12_RS	HMLLWBBXX_16496351_S60_L008	paired
X2_RS	HMLLWBBXX_16496352_S61_L006	paired
X2_RS	HMLLWBBXX_16496352_S61_L007	paired
X2_RS	HMLLWBBXX_16496352_S61_L008	paired
X13_RS	HMLLWBBXX_16496353_S62_L006	paired
X13_RS	HMLLWBBXX_16496353_S62_L007	paired
X13_RS	HMLLWBBXX_16496353_S62_L008	paired
X19_RS	HMLLWBBXX_16496354_S63_L006	paired
X19_RS	HMLLWBBXX_16496354_S63_L007	paired
X19_RS	HMLLWBBXX_16496354_S63_L008	paired
X9_RS	HMLLWBBXX_16496355_S64_L006	paired
X9_RS	HMLLWBBXX_16496355_S64_L007	paired
X9_RS	HMLLWBBXX_16496355_S64_L008	paired
X15_RS	HMLLWBBXX_16496356_S65_L006	paired
X15_RS	HMLLWBBXX_16496356_S65_L007	paired
X15_RS	HMLLWBBXX_16496356_S65_L008	paired
X4_RS	HMLLWBBXX_16496357_S66_L006	paired
X4_RS	HMLLWBBXX_16496357_S66_L007	paired
X4_RS	HMLLWBBXX_16496357_S66_L008	paired
X8_RS	HMLLWBBXX_16496358_S67_L006	paired
X8_RS	HMLLWBBXX_16496358_S67_L007	paired
X8_RS	HMLLWBBXX_16496358_S67_L008	paired
X3_RS	HMLLWBBXX_16496359_S68_L006	paired
X3_RS	HMLLWBBXX_16496359_S68_L007	paired
X3_RS	HMLLWBBXX_16496359_S68_L008	paired
X1_RS	HMLLWBBXX_16496360_S69_L006	paired
X1_RS	HMLLWBBXX_16496360_S69_L007	paired
X1_RS	HMLLWBBXX_16496360_S69_L008	paired
X5_RS	HMLLWBBXX_16496361_S70_L006	paired
X5_RS	HMLLWBBXX_16496361_S70_L007	paired
X5_RS	HMLLWBBXX_16496361_S70_L008	paired
DR01_2	HNNJYDSX5_19481473_S94_L004	paired
DR02_2	HNNJYDSX5_19481475_S111_L004	paired
DR03_2	HNNJYDSX5_19481477_S121_L004	paired
DR04_2	HNNJYDSX5_19481479_S97_L004	paired
DR05_2	HNNJYDSX5_19481481_S101_L004	paired
DR06_2	HNNJYDSX5_19481483_S96_L004	paired
DR07_2	HNNJYDSX5_19481485_S79_L004	paired
DR08_2	HNNJYDSX5_19481487_S93_L004	paired
DR09_2	HNNJYDSX5_19481489_S112_L004	paired
DR10_2	HNNJYDSX5_19481491_S89_L004	paired
DR12_2	HNNJYDSX5_19481495_S106_L004	paired
DR13_2	HNNJYDSX5_19481497_S81_L004	paired
DR14_2	HNNJYDSX5_19481499_S113_L004	paired
DR15_2	HNNJYDSX5_19481501_S120_L004	paired
DR16_2	HNNJYDSX5_19481503_S118_L004	paired
DR17_2	HNNJYDSX5_19481505_S117_L004	paired
DR18_2	HNNJYDSX5_19481507_S114_L004	paired
DR19_2	HNNJYDSX5_19481509_S119_L004	paired
DR20_2	HNNJYDSX5_19481511_S82_L004	paired
DR21_2	HNNJYDSX5_19481513_S110_L004	paired
DR22_2	HNNJYDSX5_19481515_S86_L004	paired
DR23_2	HNNJYDSX5_19481517_S88_L004	paired
DR24_2	HNNJYDSX5_19481519_S108_L004	paired
DR25	HNNJYDSX5_19481521_S104_L004	paired
DR26	HNNJYDSX5_19481523_S122_L004	paired
DR27	HNNJYDSX5_19481525_S98_L004	paired
DR31	HNNJYDSX5_19481527_S78_L004	paired
DR32	HNNJYDSX5_19481529_S115_L004	paired
DR33	HNNJYDSX5_19481531_S102_L004	paired
DR34	HNNJYDSX5_19481533_S87_L004	paired
DR35	HNNJYDSX5_19481535_S84_L004	paired
DR36	HNNJYDSX5_19481537_S90_L004	paired
DR37	HNNJYDSX5_19481539_S83_L004	paired
DR38	HNNJYDSX5_19481541_S95_L004	paired
DR39	HNNJYDSX5_19481543_S85_L004	paired
DR40	HNNJYDSX5_19481545_S107_L004	paired
DR41	HNNJYDSX5_19481547_S91_L004	paired
DR42	HNNJYDSX5_19481549_S109_L004	paired
DR43	HNNJYDSX5_19481551_S99_L004	paired
DR44	HNNJYDSX5_19481553_S103_L004	paired
DR45	HNNJYDSX5_19481555_S80_L004	paired
DR28	HNNJYDSX5_19481557_S92_L004	paired
DR29	HNNJYDSX5_19481559_S116_L004	paired
DR30	HNNJYDSX5_19481561_S105_L004	paired
DR11_2	HNNJYDSX5_19481570_S100_L004	paired
DR01_2	HNVK2DSX5_19481473_S97_L004	paired
DR02_2	HNVK2DSX5_19481475_S114_L004	paired
DR03_2	HNVK2DSX5_19481477_S124_L004	paired
DR04_2	HNVK2DSX5_19481479_S100_L004	paired
DR05_2	HNVK2DSX5_19481481_S104_L004	paired
DR06_2	HNVK2DSX5_19481483_S99_L004	paired
DR07_2	HNVK2DSX5_19481485_S82_L004	paired
DR08_2	HNVK2DSX5_19481487_S96_L004	paired
DR09_2	HNVK2DSX5_19481489_S115_L004	paired
DR10_2	HNVK2DSX5_19481491_S92_L004	paired
DR12_2	HNVK2DSX5_19481495_S109_L004	paired
DR13_2	HNVK2DSX5_19481497_S84_L004	paired
DR14_2	HNVK2DSX5_19481499_S116_L004	paired
DR15_2	HNVK2DSX5_19481501_S123_L004	paired
DR16_2	HNVK2DSX5_19481503_S121_L004	paired
DR17_2	HNVK2DSX5_19481505_S120_L004	paired
DR18_2	HNVK2DSX5_19481507_S117_L004	paired
DR19_2	HNVK2DSX5_19481509_S122_L004	paired
DR20_2	HNVK2DSX5_19481511_S85_L004	paired
DR21_2	HNVK2DSX5_19481513_S113_L004	paired
DR22_2	HNVK2DSX5_19481515_S89_L004	paired
DR23_2	HNVK2DSX5_19481517_S91_L004	paired
DR24_2	HNVK2DSX5_19481519_S111_L004	paired
DR25	HNVK2DSX5_19481521_S107_L004	paired
DR26	HNVK2DSX5_19481523_S125_L004	paired
DR27	HNVK2DSX5_19481525_S101_L004	paired
DR31	HNVK2DSX5_19481527_S81_L004	paired
DR32	HNVK2DSX5_19481529_S118_L004	paired
DR33	HNVK2DSX5_19481531_S105_L004	paired
DR34	HNVK2DSX5_19481533_S90_L004	paired
DR35	HNVK2DSX5_19481535_S87_L004	paired
DR36	HNVK2DSX5_19481537_S93_L004	paired
DR37	HNVK2DSX5_19481539_S86_L004	paired
DR38	HNVK2DSX5_19481541_S98_L004	paired
DR39	HNVK2DSX5_19481543_S88_L004	paired
DR40	HNVK2DSX5_19481545_S110_L004	paired
DR41	HNVK2DSX5_19481547_S94_L004	paired
DR42	HNVK2DSX5_19481549_S112_L004	paired
DR43	HNVK2DSX5_19481551_S102_L004	paired
DR44	HNVK2DSX5_19481553_S106_L004	paired
DR45	HNVK2DSX5_19481555_S83_L004	paired
DR28	HNVK2DSX5_19481557_S95_L004	paired
DR29	HNVK2DSX5_19481559_S119_L004	paired
DR30	HNVK2DSX5_19481561_S108_L004	paired
DR11_2	HNVK2DSX5_19481570_S103_L004	paired
MF_RNA1metforminRedo	HWTVHDRX2_19524964_S14_L002	paired
MF_RNA4metforminRedo	HWTVHDRX2_19524968_S9_L002	paired
MF_RNA3metforminRedo	HWTVHDRX2_19524972_S13_L002	paired
MF_RNA2metforminRedo	HWTVHDRX2_19524974_S15_L002	paired
TJP1_D0_1	TJP1_D0_1__HJLT7DSX3_19270653_S79_L002	paired
TJP1_D0_2	TJP1_D0_2__HJLT7DSX3_19270655_S69_L002	paired
TJP1_D0_3	TJP1_D0_3__HJLT7DSX3_19270657_S87_L002	paired
TJP1_D10_1	TJP1_D10_1__HJLT7DSX3_19270635_S71_L002	paired
TJP1_D10_2	TJP1_D10_2__HJLT7DSX3_19270637_S72_L002	paired
TJP1_D10_3	TJP1_D10_3__HJLT7DSX3_19270639_S86_L002	paired
TJP1_D20_1	TJP1_D20_1__HJLT7DSX3_19270641_S97_L002	paired
TJP1_D20_2	TJP1_D20_2__HJLT7DSX3_19270643_S74_L002	paired
TJP1_D20_3	TJP1_D20_3__HJLT7DSX3_19270619_S76_L002	paired
TJP1_D25_1	TJP1_D25_1__HJLT7DSX3_19270621_S85_L002	paired
TJP1_D25_2	TJP1_D25_2__HJLT7DSX3_19270623_S100_L002	paired
TJP1_D25_3	TJP1_D25_3__HJLT7DSX3_19270625_S95_L002	paired
TJP1_D2_1	TJP1_D2_1__HJLT7DSX3_19270659_S98_L002	paired
TJP1_D2_2	TJP1_D2_2__HJLT7DSX3_19270661_S82_L002	paired
TJP1_D2_3	TJP1_D2_3__HJLT7DSX3_19270633_S75_L002	paired
TJP1_D40_1	TJP1_D40_1__HJLT7DSX3_19270627_S94_L002	paired
